name;lat;lon;pop;textsize
Framingham;42.27926;-71.41617;68318;13
Framingham Center;42.29732;-71.43701;65413;13
Franklin;42.08343;-71.39672;30636;6
Gardner;42.57509;-71.99813;20228;4
Gloucester;42.61593;-70.66199;28789;5
Grafton;42.20704;-71.68562;16583;3
Greenfield;42.58759;-72.59953;19753;3
Hanover;42.11316;-70.81199;16906;3
Harwich;41.68622;-70.07585;13059;2
Haverhill;42.7762;-71.07728;60879;12
Head of Westport;41.62094;-71.06199;14809;2
Holbrook;42.1551;-71.00866;10791;2
Holden;42.35176;-71.86341;17016;3
Holliston;42.2001;-71.4245;14010;2
Holyoke;42.20426;-72.6162;39880;7
Hudson;42.39176;-71.56618;14907;2
Hull;42.30204;-70.90782;10293;2
Hyannis;41.65289;-70.2828;14120;2
Jamaica Plain;42.30982;-71.12033;37468;7
Lawrence;42.70704;-71.16311;76377;15
Leicester;42.24593;-71.90868;11064;2
Leominster;42.52509;-71.75979;40759;8
Lexington;42.44732;-71.2245;31394;6
Longmeadow;42.0501;-72.58287;15784;3
Lowell;42.63342;-71.31617;106519;21
Ludlow;42.16009;-72.47592;22201;4
Lynn;42.46676;-70.94949;90329;18
Lynnfield;42.53898;-71.04811;11596;2
Malden;42.4251;-71.06616;59450;11
Mansfield;42.03343;-71.21894;23380;4
Marblehead;42.5001;-70.85783;19808;3
Marlborough;42.34909;-71.54546;38499;7
Mashpee;41.64844;-70.48114;14834;2
Maynard;42.43343;-71.44951;10106;2
Medford;42.41843;-71.10616;56173;11
Medway;42.14176;-71.39673;13042;2
Melrose;42.45843;-71.06616;26983;5
Methuen;42.7262;-71.19089;47255;9
Milford;42.13982;-71.51617;25055;5
Millbury;42.19398;-71.76007;13606;2
Milton;42.24954;-71.06616;27003;5
Natick;42.28343;-71.3495;32276;6
Needham;42.28343;-71.23283;28886;5
New Bedford;41.63622;-70.9342;95072;19
Newburyport;42.81259;-70.87728;17416;3
Newton;42.33704;-71.20922;85146;17
Norfolk;42.11954;-71.32506;10386;2
North Adams;42.70092;-73.10871;13708;2
North Chicopee;42.18343;-72.59953;55179;11
North Reading;42.57509;-71.07867;14101;2
Northampton;42.32509;-72.6412;28549;5
Northbridge;42.15148;-71.64951;14061;2
Norton;41.96677;-71.18699;19808;3
Norwell;42.16177;-70.79393;10581;2
Norwood;42.19454;-71.1995;28602;5
Palmer;42.15843;-72.32869;18261;3
Peabody;42.52787;-70.92866;51251;10
Pittsfield;42.45008;-73.24538;44737;8
Quincy;42.25288;-71.00227;92271;18
Randolph;42.1626;-71.04116;32112;6
Raynham;41.94871;-71.0731;13153;2
Reading;42.52565;-71.09533;24747;4
Rehoboth;41.84038;-71.24949;11486;2
Rockland;42.13066;-70.91616;17982;3
Salem;42.51954;-70.89672;41340;8
Saugus;42.46482;-71.01005;26628;5
Seekonk;41.80843;-71.337;13966;2
Shrewsbury;42.29593;-71.71285;33893;6
Somerset;41.76955;-71.12866;18165;3
Somerville;42.3876;-71.0995;75754;15
South Boston;42.33343;-71.04949;571281;114
South Hadley;42.25842;-72.57453;17652;3
South Peabody;42.50982;-70.94949;50293;10
South Yarmouth;41.66678;-70.18474;11092;2
Southbridge;42.0751;-72.03341;19030;3
Springfield;42.10148;-72.58981;153060;30
Stoneham;42.4801;-71.0995;21437;4
Stoughton;42.1251;-71.10227;26915;5
Sudbury;42.38343;-71.41617;17343;3
